"main_category","title_tr","slug","top_category_slug","confidence"
"dugun-mekanlari","Soz Nisan Mekanlari","service-soz-nisan-mekanlari","service-events-organization","medium"
"dugun-organizasyon","Acilis Balon Susleme","service-acilis-balon-susleme","service-events-organization","medium"
"dugun-organizasyon","Balon Susleme","service-balon-susleme","service-events-organization","medium"
"dugun-organizasyon","Dogum Gunu Balon Susleme","service-dogum-gunu-balon-susleme","service-events-organization","high"
"dugun-organizasyon","Dogum Gunu Susleme","service-dogum-gunu-susleme","service-events-organization","medium"
"dugun-organizasyon","Dogum Odasi Susleme","service-dogum-odasi-susleme","service-other","low"
"dugun-organizasyon","Dugun Balon Susleme","service-dugun-balon-susleme","service-events-organization","high"
"dugun-organizasyon","Dugun Organizasyon","service-dugun-organizasyon","service-events-organization","high"
"dugun-organizasyon","Etkinlik Fotografcisi","service-etkinlik-fotografcisi","service-photo-video-media","medium"
"dugun-organizasyon","Etkinlik Hostesi","service-etkinlik-hostesi","service-other","low"
"dugun-organizasyon","Evde Nisan Organizasyonu","service-evde-nisan-organizasyonu","service-events-organization","high"
"dugun-organizasyon","Evde Soz Organizasyonu","service-evde-soz-organizasyonu","service-events-organization","medium"
"dugun-organizasyon","Evlilik Teklifi Organizasyon","service-evlilik-teklifi-organizasyon","service-events-organization","medium"
"dugun-organizasyon","Fuar Hostesi","service-fuar-hostesi","service-other","low"
"dugun-organizasyon","Gelin Arabasi Susleme","service-gelin-arabasi-susleme","service-other","low"
"dugun-organizasyon","Karsilama Hostesi","service-karsilama-hostesi","service-other","low"
"dugun-organizasyon","Kina Organizasyon","service-kina-organizasyon","service-events-organization","high"
"dugun-organizasyon","Konsept Fotograf Cekimi","service-konsept-fotograf-cekimi","service-photo-video-media","medium"
"dugun-organizasyon","Muzik Organizasyonu","service-muzik-organizasyonu","service-events-organization","medium"
"dugun-organizasyon","Nikah Organizasyon","service-nikah-organizasyon","service-events-organization","medium"
"dugun-organizasyon","Nisan Organizasyon","service-nisan-organizasyon","service-events-organization","high"
"dugun-organizasyon","Soz Nisan Organizasyon","service-soz-nisan-organizasyon","service-events-organization","high"
"dugun-organizasyon","Soz Organizasyon","service-soz-organizasyon","service-events-organization","medium"
"dugun-organizasyon","Susleme Organizasyon","service-susleme-organizasyon","service-events-organization","medium"
"dugun-organizasyon","Ucan Balon Susleme","service-ucan-balon-susleme","service-events-organization","medium"
"dugun-organizasyon","Zincir Balon Susleme","service-zincir-balon-susleme","service-events-organization","medium"
"gelin-arabasi","Gelin Arabasi Kiralama","service-gelin-arabasi-kiralama","service-rental","medium"
"gelin-arabasi","Havaalani Transfer","service-havaalani-transfer","service-other","low"
"gelin-arabasi","Karavan Transfer","service-karavan-transfer","service-other","low"
"gelin-arabasi","Kedi Transferi","service-kedi-transferi","service-pets-garden","medium"
"gelin-arabasi","Kopek Transfer","service-kopek-transfer","service-pets-garden","medium"
"gelin-arabasi","Limuzin Kiralama","service-limuzin-kiralama","service-rental","medium"
"gelin-arabasi","Motosiklet Transfer","service-motosiklet-transfer","service-auto-services","medium"
"gelin-arabasi","Sehirler Arasi Transfer","service-sehirler-arasi-transfer","service-other","low"
"gelin-arabasi","Tekne Transferi","service-tekne-transferi","service-other","low"
"gelin-arabasi","Transfer","service-transfer","service-other","low"
"gelin-arabasi","Ustu Acik Gelin Arabasi Kiralama","service-ustu-acik-gelin-arabasi-kiralama","service-rental","medium"
"gelin-arabasi","Vip Transfer","service-vip-transfer","service-other","low"
"gelin-arabasi","Vito Gelin Arabasi Kiralama","service-vito-gelin-arabasi-kiralama","service-rental","medium"
"gelinlik","Gelinlik","service-gelinlik","service-other","low"
"gelinlik","Gelinlik Dikimi","service-gelinlik-dikimi","service-beauty-fashion","medium"
"gelinlik","Gelinlik Kiralama","service-gelinlik-kiralama","service-rental","medium"
"gelinlik","Gelinlik Kuru Temizleme","service-gelinlik-kuru-temizleme","service-home-cleaning","medium"
"gelinlik","Gelinlik Tadilati","service-gelinlik-tadilati","service-construction-renovation","medium"
"gelinlik","Tesettur Gelinlik Kiralama","service-tesettur-gelinlik-kiralama","service-rental","medium"
"gelin-saci-ve-makyaji","Dogum Gunu Makyaji","service-dogum-gunu-makyaji","service-events-organization","medium"
"gelin-saci-ve-makyaji","Dugun Makyaji","service-dugun-makyaji","service-events-organization","medium"
"gelin-saci-ve-makyaji","Erkek Kuaforu","service-erkek-kuaforu","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Evde Kuafor","service-evde-kuafor","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Evde Makyaj","service-evde-makyaj","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Evde Nisan Makyaji","service-evde-nisan-makyaji","service-events-organization","medium"
"gelin-saci-ve-makyaji","Fotograf Cekimi Makyaji","service-fotograf-cekimi-makyaji","service-photo-video-media","medium"
"gelin-saci-ve-makyaji","Gelin Makyaji","service-gelin-makyaji","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Gelin Sac Makyaj","service-gelin-sac-makyaj","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Gelin Saci","service-gelin-saci","service-other","low"
"gelin-saci-ve-makyaji","Glitter Makyaj","service-glitter-makyaj","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Gunluk Makyaj","service-gunluk-makyaj","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Kiz Isteme Makyaji","service-kiz-isteme-makyaji","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Kopek Kuaforu","service-kopek-kuaforu","service-beauty-fashion","medium"
