"slug","title_tr","top_category_slug","confidence","decision","main_category","reason"
"service-merkezi-kilit-montaji","Merkezi Kilit Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-mermer-montaji","Mermer Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-mobilya-montaj","Mobilya Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-multimedya-montaji","Multimedya Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-musluk-montaji","Musluk Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ocak-montaji","Ocak Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-oda-termostati-montaji","Oda Termostati Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-oto-ses-sistemi-montaj","Oto Ses Sistemi Montaj","service-photo-video-media","high","out","","exclude_rule"
"service-oto-teyp-cevirici-montaji","Oto Teyp Cevirici Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-oto-teyp-montaji","Oto Teyp Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-otomatik-kapi-montaji","Otomatik Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-otomobil-webasto-montaji","Otomobil Webasto Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-oyun-videosu-montajlama","Oyun Videosu Montajlama","service-photo-video-media","high","out","","exclude_rule"
"service-perde-montaji","Perde Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-pimapen-kapi-montaji","Pimapen Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-pimapen-pencere-montaji","Pimapen Pencere Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-plise-perde-montaji","Plise Perde Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-portmanto-montaji","Portmanto Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-prefabrik-montaj","Prefabrik Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-priz-montaji","Priz Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-pvc-kapi-montaji","Pvc Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
