"name","slug","main_category","source_type","source_slug","top_category_slug","confidence"
"Nisan Makyaji","service-nisan-makyaji","gelin-saci-ve-makyaji","strict_v2","service-nisan-makyaji","service-events-organization","medium"
"Ozel Gun Makyaji","service-ozel-gun-makyaji","gelin-saci-ve-makyaji","strict_v2","service-ozel-gun-makyaji","service-beauty-fashion","medium"
"Pet Kuaforu","service-pet-kuaforu","gelin-saci-ve-makyaji","strict_v2","service-pet-kuaforu","service-beauty-fashion","medium"
"Plastik Makyaj","service-plastik-makyaj","gelin-saci-ve-makyaji","strict_v2","service-plastik-makyaj","service-beauty-fashion","medium"
"Porselen Makyaj","service-porselen-makyaj","gelin-saci-ve-makyaji","strict_v2","service-porselen-makyaj","service-beauty-fashion","medium"
"Sac Ve Makyaj","service-sac-ve-makyaj","gelin-saci-ve-makyaji","strict_v2","service-sac-ve-makyaj","service-beauty-fashion","medium"
"Yuz Tasi Makyaj","service-yuz-tasi-makyaj","gelin-saci-ve-makyaji","strict_v2","service-yuz-tasi-makyaj","service-beauty-fashion","medium"
"Kina Elbisesi Kiralama","service-kina-elbisesi-kiralama","kina-ve-bekarliga-veda","strict_v2","service-kina-elbisesi-kiralama","service-events-organization","medium"
"Kina Fotograf Cekimi","service-kina-fotograf-cekimi","kina-ve-bekarliga-veda","strict_v2","service-kina-fotograf-cekimi","service-events-organization","medium"
"Makinali Kara Siva","service-makinali-kara-siva","kina-ve-bekarliga-veda","strict_v2","service-makinali-kara-siva","service-construction-renovation","medium"
"Makinali Sap","service-makinali-sap","kina-ve-bekarliga-veda","strict_v2","service-makinali-sap","service-events-organization","medium"
"Ozel Makina Imalati","service-ozel-makina-imalati","kina-ve-bekarliga-veda","strict_v2","service-ozel-makina-imalati","service-events-organization","medium"
"Dugun Salonu","dugun-salonu","mekanlar","source","service-dugun-salonu","",""
"Bando Takimi","service-bando-takimi","muzik","strict_v2","service-bando-takimi","service-events-organization","medium"
"Canli Muzik","service-canli-muzik","muzik","strict_v2","service-canli-muzik","service-other","low"
"Dj Kiralama","service-dj-kiralama","muzik","strict_v2","service-dj-kiralama","service-events-organization","medium"
"Dugun Bandosu","service-dugun-bandosu","muzik","strict_v2","service-dugun-bandosu","service-events-organization","high"
"Dugun Davulcusu","service-dugun-davulcusu","muzik","strict_v2","service-dugun-davulcusu","service-events-organization","medium"
"Dugun Dj","service-dugun-dj","muzik","strict_v2","service-dugun-dj","service-events-organization","high"
"Dugun Orkestrasi","service-dugun-orkestrasi","muzik","strict_v2","service-dugun-orkestrasi","service-events-organization","medium"
"Fasil Ekibi","service-fasil-ekibi","muzik","strict_v2","service-fasil-ekibi","service-events-organization","medium"
"Gelin Alma Bandosu","service-gelin-alma-bandosu","muzik","strict_v2","service-gelin-alma-bandosu","service-events-organization","medium"
"Kadin Dj","service-kadin-dj","muzik","strict_v2","service-kadin-dj","service-events-organization","medium"
"Muzik Ekibi","service-muzik-ekibi","muzik","strict_v2","service-muzik-ekibi","service-events-organization","medium"
"Muzik Grubu","service-muzik-grubu","muzik","strict_v2","service-muzik-grubu","service-other","low"
"Muzik Produksiyon","service-muzik-produksiyon","muzik","strict_v2","service-muzik-produksiyon","service-other","low"
"Muzik Studyosu Kiralama","service-muzik-studyosu-kiralama","muzik","strict_v2","service-muzik-studyosu-kiralama","service-rental","medium"
"Muzik Yapimi","service-muzik-yapimi","muzik","strict_v2","service-muzik-yapimi","service-home-furniture-wood","medium"
"Muzik Yetenek Sinavi Hazirlik","service-muzik-yetenek-sinavi-hazirlik","muzik","strict_v2","service-muzik-yetenek-sinavi-hazirlik","service-other","low"
"Muzisyen","service-muzisyen","muzik","strict_v2","service-muzisyen","service-other","low"
"Orkestra","service-orkestra","muzik","strict_v2","service-orkestra","service-other","low"
"Profesyonel Dj","service-profesyonel-dj","muzik","strict_v2","service-profesyonel-dj","service-events-organization","medium"
"Trio Muzik Grubu","service-trio-muzik-grubu","muzik","strict_v2","service-trio-muzik-grubu","service-other","low"
"Bayan Orkestra","bayan-orkestra","muzik-gruplari","manual_seed","","",""
"Dugun Orkestrasi","dugun-orkestrasi","muzik-gruplari","source","service-dugun-orkestrasi","",""
"Gelin Alma Bandosu","gelin-alma-bandosu","muzik-gruplari","source","service-gelin-alma-bandosu","",""
"Ilahi Grubu","ilahi-grubu","muzik-gruplari","manual_seed","","",""
"Kadin DJ","kadin-dj","muzik-gruplari","source","service-kadin-dj","",""
"Mehter Takimi","mehter-takimi","muzik-gruplari","manual_seed","","",""
"Dugun Hediyelik","service-dugun-hediyelik","nikah-sekeri-ve-hediyelik","strict_v2","service-dugun-hediyelik","service-events-organization","medium"
"Hediyelik Yapimi","service-hediyelik-yapimi","nikah-sekeri-ve-hediyelik","strict_v2","service-hediyelik-yapimi","service-home-furniture-wood","medium"
"Mevlut Hediyelik","service-mevlut-hediyelik","nikah-sekeri-ve-hediyelik","strict_v2","service-mevlut-hediyelik","service-other","low"
"Nikah Hediyelik","service-nikah-hediyelik","nikah-sekeri-ve-hediyelik","strict_v2","service-nikah-hediyelik","service-other","low"
"Nikah Sekeri","service-nikah-sekeri","nikah-sekeri-ve-hediyelik","strict_v2","service-nikah-sekeri","service-other","low"
"Nisan Hediyelik","service-nisan-hediyelik","nikah-sekeri-ve-hediyelik","strict_v2","service-nisan-hediyelik","service-events-organization","medium"
