"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-temperli-cam-kestirme","Temperli Cam Kestirme","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-tesettur-elbise-dikimi","Tesettur Elbise Dikimi","service-beauty-fashion","medium","manual_review","","no_match"
"service-tezgah-kaplama","Tezgah Kaplama","service-home-furniture-wood","medium","manual_review","","no_match"
"service-toz-bocegi-ilaclama","Toz Bocegi Ilaclama","service-home-cleaning","medium","manual_review","","no_match"
"service-triger-seti-degisimi","Triger Seti Degisimi","service-repair-maintenance","medium","manual_review","","no_match"
"service-uv-baski","Uv Baski","service-print-sign-ad","medium","manual_review","","no_match"
"service-vergi-danismani","Vergi Danismani","service-business-consulting","medium","manual_review","","no_match"
"service-vip-arac-kiralama","Vip Arac Kiralama","service-auto-services","medium","manual_review","","no_match"
"service-voleybol-kursu","Voleybol Kursu","service-education-lessons","medium","manual_review","","no_match"
"service-yeme-bozuklugu-terapisi","Yeme Bozuklugu Terapisi","service-health-care","medium","manual_review","","no_match"
"service-yemek-masasi-boyama","Yemek Masasi Boyama","service-construction-renovation","medium","manual_review","","no_match"
"service-yerinde-pasta-cila","Yerinde Pasta Cila","service-auto-services","medium","manual_review","","no_match"
"service-zemin-etudu","Zemin Etudu","service-construction-renovation","medium","manual_review","","no_match"
"service-beton-dokum","Beton Dokum","service-other","low","manual_review","","no_match"
"service-beton-silme","Beton Silme","service-other","low","manual_review","","no_match"
"service-bilgisayar-destek","Bilgisayar Destek","service-other","low","manual_review","","no_match"
"service-borsa-teknik-analiz","Borsa Teknik Analiz","service-other","low","manual_review","","no_match"
"service-cocuk-gelisimi-uzmani","Cocuk Gelisimi Uzmani","service-other","low","manual_review","","no_match"
"service-fon-perde","Fon Perde","service-other","low","manual_review","","no_match"
"service-fransizca-cevirmen","Fransizca Cevirmen","service-other","low","manual_review","","no_match"
"service-fransizca-yeminli-tercuman","Fransizca Yeminli Tercuman","service-other","low","manual_review","","no_match"
"service-garaj-kapisi","Garaj Kapisi","service-other","low","manual_review","","no_match"
"service-grup-mat-pilates","Grup Mat Pilates","service-other","low","manual_review","","no_match"
"service-hali-kestirme","Hali Kestirme","service-other","low","manual_review","","no_match"
"service-ispanyolca-cevirmen","Ispanyolca Cevirmen","service-other","low","manual_review","","no_match"
"service-kagit-geri-donusum","Kagit Geri Donusum","service-other","low","manual_review","","no_match"
"service-kanal-goruntuleme","Kanal Goruntuleme","service-other","low","manual_review","","no_match"
"service-kanal-kazma","Kanal Kazma","service-other","low","manual_review","","no_match"
"service-karot-testi","Karot Testi","service-other","low","manual_review","","no_match"
"service-kartonpiyer","Kartonpiyer","service-other","low","manual_review","","no_match"
"service-koltuk-yaptirma","Koltuk Yaptirma","service-other","low","manual_review","","no_match"
"service-konut-sigortasi","Konut Sigortasi","service-other","low","manual_review","","no_match"
"service-kuru-pasta","Kuru Pasta","service-other","low","manual_review","","no_match"
"service-lambiri","Lambiri","service-other","low","manual_review","","no_match"
"service-maket-pasta","Maket Pasta","service-other","low","manual_review","","no_match"
"service-meditasyon","Meditasyon","service-other","low","manual_review","","no_match"
"service-merdiven-korkulugu","Merdiven Korkulugu","service-other","low","manual_review","","no_match"
"service-mobil-oyun-gelistirme","Mobil Oyun Gelistirme","service-other","low","manual_review","","no_match"
"service-moloz-atimi","Moloz Atimi","service-other","low","manual_review","","no_match"
"service-moxo-testi","Moxo Testi","service-other","low","manual_review","","no_match"
"service-ofis-bolme-sistemleri","Ofis Bolme Sistemleri","service-other","low","manual_review","","no_match"
"service-ofis-ic-mimar","Ofis Ic Mimar","service-other","low","manual_review","","no_match"
"service-ofiste-yemek-pisirme","Ofiste Yemek Pisirme","service-other","low","manual_review","","no_match"
"service-patent-tescil","Patent Tescil","service-other","low","manual_review","","no_match"
"service-pencere-silikon-cekme","Pencere Silikon Cekme","service-other","low","manual_review","","no_match"
"service-perde-yikama","Perde Yikama","service-other","low","manual_review","","no_match"
"service-plastik-kaynak","Plastik Kaynak","service-other","low","manual_review","","no_match"
